Price,Close,High,Low,Open,Volume
Ticker,BTCB-USD,BTCB-USD,BTCB-USD,BTCB-USD,BTCB-USD
Datetime,,,,,
2024-03-06 00:00:00+00:00,63829.6640625,63987.66015625,63823.45703125,63956.10546875,0
2024-03-06 01:00:00+00:00,63371.328125,63722.93359375,63371.328125,63722.93359375,0
2024-03-06 02:00:00+00:00,63196.94140625,63350.7578125,63196.94140625,63291.90625,0
2024-03-06 03:00:00+00:00,63241.69921875,63282.71484375,63128.3828125,63137.25,0
2024-03-06 04:00:00+00:00,64009.69921875,64009.69921875,63240.921875,63240.921875,0
2024-03-06 05:00:00+00:00,66002.78125,66028.9140625,64260.55078125,64260.55078125,13642112
2024-03-06 06:00:00+00:00,65940.15625,66314.1953125,65927.6015625,66124.9453125,0
2024-03-06 07:00:00+00:00,66087.109375,66138.0546875,65811.9921875,65902.6328125,1708736
2024-03-06 08:00:00+00:00,67002.828125,67412.2109375,66379.5859375,66379.5859375,17630912
2024-03-06 09:00:00+00:00,66710.1171875,67200.15625,66710.1171875,67018.5703125,0
2024-03-06 10:00:00+00:00,66599.7109375,66637.859375,66488.5625,66494.7890625,4853568
2024-03-06 11:00:00+00:00,67061.6796875,67089.421875,66573.578125,66663.6640625,8392000
2024-03-06 12:00:00+00:00,66143.578125,67338.1875,65343.234375,67320.25,0
2024-03-06 13:00:00+00:00,66341.515625,66341.515625,65768.5234375,66004.7890625,9607744
2024-03-06 14:00:00+00:00,66592.515625,67008.2421875,66391.6328125,66391.6328125,5147840
2024-03-06 15:00:00+00:00,66418.3203125,66452.4921875,65800.515625,66234.140625,0
2024-03-06 16:00:00+00:00,66859.859375,66859.859375,66470.09375,66470.09375,0
2024-03-06 17:00:00+00:00,67046.6796875,67046.6796875,66875.5,66875.5,0
2024-03-06 18:00:00+00:00,66939.1953125,67283.4140625,66939.1953125,67109.9140625,6168320
2024-03-06 19:00:00+00:00,66911.4765625,67079.2421875,66910.609375,67021.4296875,0
2024-03-06 20:00:00+00:00,67092.9921875,67170.6171875,66898.25,66906.59375,0
2024-03-06 21:00:00+00:00,66573.9921875,67105.6953125,66538.7890625,67105.6953125,0
2024-03-06 22:00:00+00:00,66199.3203125,66516.4453125,66199.3203125,66516.4453125,0
2024-03-06 23:00:00+00:00,66132.7890625,66188.8046875,66056.2578125,66154.8515625,0
2024-03-07 00:00:00+00:00,66129.5234375,66130.4375,66024.578125,66113.6796875,0
2024-03-07 01:00:00+00:00,66019.53125,66124.578125,65884.3203125,66124.578125,0
2024-03-07 02:00:00+00:00,66086.671875,66189.3203125,66033.5859375,66126.703125,864704
2024-03-07 03:00:00+00:00,66016.2265625,66143.453125,66014.84375,66098.0546875,0
2024-03-07 04:00:00+00:00,66017.265625,66082.5,65963.734375,66000.8515625,0
2024-03-07 05:00:00+00:00,65799.9375,66029.84375,65799.9375,65994.453125,0
2024-03-07 06:00:00+00:00,65966.6484375,65966.6484375,65757.5,65828.671875,1035264
2024-03-07 07:00:00+00:00,66274.09375,66274.09375,65981.2109375,66000.234375,2488640
2024-03-07 08:00:00+00:00,66746.2890625,66833.546875,66310.09375,66310.09375,6221312
2024-03-07 09:00:00+00:00,66778.671875,66783.8984375,66682.296875,66682.296875,0
2024-03-07 10:00:00+00:00,66846.6328125,66846.6328125,66745.21875,66749.828125,2621760
2024-03-07 11:00:00+00:00,66766.65625,67003.75,66729.0234375,66888.234375,0
2024-03-07 12:00:00+00:00,66845.8046875,66965.0078125,66845.8046875,66865.0859375,0
2024-03-07 13:00:00+00:00,66851.15625,66851.15625,66739.328125,66744.7421875,0
2024-03-07 14:00:00+00:00,67171.15625,67762.5546875,66998.484375,66998.484375,4077120
2024-03-07 15:00:00+00:00,67277.4921875,67277.4921875,66970.1171875,67103.328125,13736576
2024-03-07 16:00:00+00:00,67288.1328125,67354.65625,67213.6875,67336.03125,12360640
2024-03-07 17:00:00+00:00,67746.0390625,67845.5234375,67367.6015625,67367.6015625,15706880
2024-03-07 18:00:00+00:00,67704.84375,67742.6484375,67660.0859375,67742.6484375,2767680
2024-03-07 19:00:00+00:00,67564.9765625,67812.1640625,67438.4140625,67732.4375,381056
2024-03-07 20:00:00+00:00,67840.09375,67907.859375,67580.8515625,67580.8515625,5371840
2024-03-07 21:00:00+00:00,67326.140625,67644.3125,67318.3359375,67644.3125,31943552
2024-03-07 22:00:00+00:00,67295.375,67413.9375,67283.59375,67325.9140625,2488192
2024-03-07 23:00:00+00:00,67139.234375,67268.3125,67139.234375,67268.3125,63146944
2024-03-08 00:00:00+00:00,66954.703125,67090.25,66913.6171875,67090.25,62307072
2024-03-08 01:00:00+00:00,67049.4609375,67145.9921875,67040.765625,67040.765625,12705408
2024-03-08 02:00:00+00:00,67020.2109375,67071.3984375,66981.109375,67043.109375,6398912
2024-03-08 03:00:00+00:00,67156.4296875,67164.953125,67037.3125,67037.3125,5762752
2024-03-08 04:00:00+00:00,67147.921875,67228.2265625,67119.4453125,67158.8359375,14803584
2024-03-08 05:00:00+00:00,66953.34375,67160.171875,66953.34375,67148.7578125,2081152
2024-03-08 06:00:00+00:00,67152.328125,67152.328125,66955.5078125,66955.5078125,21202240
2024-03-08 07:00:00+00:00,67473.46875,67551.1484375,67323.6171875,67323.6171875,10026368
2024-03-08 08:00:00+00:00,67419.875,67419.875,67337.2265625,67407.0546875,19265472
2024-03-08 09:00:00+00:00,67353.6796875,67399.4296875,67336.84375,67399.4296875,0
2024-03-08 10:00:00+00:00,67351.109375,67351.765625,67246.8515625,67351.765625,424960
2024-03-08 11:00:00+00:00,67562.3125,67562.3125,67351.359375,67351.359375,2003136
2024-03-08 12:00:00+00:00,67619.3515625,67645.3828125,67556.1015625,67618.359375,4925696
2024-03-08 13:00:00+00:00,67815.046875,67815.046875,67510.5703125,67620.71875,2830400
2024-03-08 14:00:00+00:00,68506.6640625,68506.6640625,67822.453125,67822.453125,10724160
2024-03-08 15:00:00+00:00,68020.4921875,69138.2421875,68020.4921875,68504.5390625,8526208
2024-03-08 16:00:00+00:00,67829.3359375,67830.8046875,66626.09375,67432.90625,0
2024-03-08 17:00:00+00:00,68659.9609375,68665.328125,67989.578125,67989.578125,11021504
2024-03-08 18:00:00+00:00,68599.265625,68648.5078125,68468.375,68636.3046875,513920
2024-03-08 19:00:00+00:00,68652.0,68652.0,68482.6640625,68593.921875,249024
2024-03-08 20:00:00+00:00,69218.8984375,69263.0546875,68752.2578125,68752.2578125,11170880
2024-03-08 21:00:00+00:00,68733.2109375,69229.4296875,68733.2109375,69198.9765625,0
2024-03-08 22:00:00+00:00,68423.28125,68423.28125,68317.2734375,68317.2734375,0
2024-03-08 23:00:00+00:00,68383.1484375,68433.7890625,68352.3125,68389.1171875,0
2024-03-09 00:00:00+00:00,68323.578125,68361.5703125,68300.4453125,68361.5703125,0
2024-03-09 01:00:00+00:00,68231.234375,68294.5625,68231.234375,68294.5625,0
2024-03-09 02:00:00+00:00,68230.2578125,68230.2578125,68160.5546875,68221.4375,0
2024-03-09 03:00:00+00:00,68375.609375,68404.71875,68211.515625,68243.5234375,3719296
2024-03-09 04:00:00+00:00,68366.40625,68370.015625,68300.2734375,68370.015625,0
2024-03-09 05:00:00+00:00,68310.296875,68392.4375,68310.296875,68369.5390625,0
2024-03-09 06:00:00+00:00,68450.0234375,68450.0234375,68306.4609375,68306.4609375,2324416
2024-03-09 07:00:00+00:00,68563.6015625,68575.765625,68470.6484375,68478.5546875,860992
2024-03-09 08:00:00+00:00,68472.171875,68555.3125,68463.7109375,68555.3125,0
2024-03-09 09:00:00+00:00,68384.1796875,68502.0625,68384.1796875,68487.6171875,0
2024-03-09 10:00:00+00:00,68289.3203125,68429.9765625,68246.6328125,68374.5390625,956160
2024-03-09 11:00:00+00:00,68357.6953125,68378.03125,68273.78125,68273.78125,684672
2024-03-09 12:00:00+00:00,68463.25,68463.25,68329.2421875,68365.28125,313088
2024-03-09 13:00:00+00:00,68479.28125,68512.296875,68475.6015625,68476.7109375,0
2024-03-09 14:00:00+00:00,68369.8359375,68496.734375,68369.8359375,68489.3828125,0
2024-03-09 15:00:00+00:00,68417.046875,68433.5078125,68336.8046875,68336.8046875,0
2024-03-09 16:00:00+00:00,68254.8359375,68411.015625,68250.203125,68403.0234375,1644736
2024-03-09 17:00:00+00:00,68213.5703125,68268.53125,68213.5703125,68267.6015625,0
2024-03-09 18:00:00+00:00,68342.8671875,68342.8671875,68221.8828125,68221.8828125,0
2024-03-09 19:00:00+00:00,68336.484375,68373.6328125,68336.484375,68353.65625,0
2024-03-09 20:00:00+00:00,68496.28125,68496.28125,68350.109375,68350.109375,0
2024-03-09 21:00:00+00:00,68463.703125,68494.671875,68416.1171875,68494.671875,0
2024-03-09 22:00:00+00:00,68555.5859375,68555.5859375,68465.65625,68465.65625,0
2024-03-09 23:00:00+00:00,68530.578125,68562.7890625,68526.2578125,68556.671875,0
2024-03-10 00:00:00+00:00,68507.515625,68517.0546875,68489.9453125,68514.03125,0
2024-03-10 01:00:00+00:00,69074.296875,69203.3359375,68516.71875,68516.71875,9182208
2024-03-10 02:00:00+00:00,69087.703125,69160.8828125,69046.9921875,69057.7734375,1507072
2024-03-10 03:00:00+00:00,69081.328125,69083.9296875,69035.171875,69063.0703125,0
2024-03-10 04:00:00+00:00,69585.0546875,69597.921875,69101.9453125,69101.9453125,8714112
2024-03-10 05:00:00+00:00,69521.28125,69597.671875,69521.28125,69588.0859375,0
2024-03-10 06:00:00+00:00,69427.40625,69511.2578125,69409.140625,69510.5234375,2581184
2024-03-10 07:00:00+00:00,69504.015625,69504.015625,69438.0625,69438.0625,1012032
2024-03-10 08:00:00+00:00,69591.5703125,69595.2578125,69476.7265625,69528.328125,2939904
2024-03-10 09:00:00+00:00,69813.390625,69874.0625,69450.15625,69682.3359375,5129664
2024-03-10 10:00:00+00:00,69808.0625,69911.9453125,69808.0625,69862.828125,429568
2024-03-10 11:00:00+00:00,69741.703125,69851.1015625,69733.625,69763.0,8108608
2024-03-10 12:00:00+00:00,69770.3515625,69817.421875,69737.0,69737.0,898944
2024-03-10 13:00:00+00:00,69606.25,69852.640625,69606.25,69811.6953125,0
2024-03-10 14:00:00+00:00,69354.265625,69576.5703125,69152.6015625,69576.5703125,0
2024-03-10 15:00:00+00:00,69347.296875,69374.859375,69296.4609375,69374.859375,2394880
2024-03-10 16:00:00+00:00,69695.9609375,69748.4140625,69304.796875,69304.796875,6326592
2024-03-10 17:00:00+00:00,69649.3203125,69675.78125,69580.7578125,69675.78125,0
2024-03-10 18:00:00+00:00,69527.546875,69679.0546875,69527.546875,69679.0546875,0
2024-03-10 19:00:00+00:00,69433.5703125,69537.8046875,69433.5703125,69515.265625,0
2024-03-10 20:00:00+00:00,69391.0546875,69529.09375,69391.0546875,69467.8203125,0
2024-03-10 21:00:00+00:00,69325.6171875,69427.828125,69303.921875,69411.1640625,0
2024-03-10 22:00:00+00:00,68793.953125,69278.9375,68780.046875,69278.9375,0
2024-03-10 23:00:00+00:00,68958.265625,68958.265625,68520.0078125,68520.0078125,3264640
2024-03-11 00:00:00+00:00,67948.53125,68994.8359375,67711.4765625,68994.8359375,0
2024-03-11 01:00:00+00:00,68018.421875,68262.1953125,67856.6328125,67988.390625,2903936
2024-03-11 02:00:00+00:00,68474.3046875,68474.3046875,68064.296875,68064.296875,6992768
2024-03-11 03:00:00+00:00,68545.53125,68616.8828125,68442.3984375,68456.3515625,2602432
2024-03-11 04:00:00+00:00,68604.9609375,68689.3125,68572.40625,68572.40625,0
2024-03-11 05:00:00+00:00,68646.09375,68722.5234375,68604.765625,68604.765625,3015168
2024-03-11 06:00:00+00:00,68752.921875,68752.921875,68534.59375,68569.2421875,0
2024-03-11 07:00:00+00:00,71081.2734375,71081.2734375,68893.2578125,68893.2578125,44934208
2024-03-11 08:00:00+00:00,71277.3984375,71426.8125,71058.34375,71058.34375,6444992
2024-03-11 09:00:00+00:00,71701.7109375,71701.7109375,71277.6640625,71277.6640625,5606912
2024-03-11 10:00:00+00:00,71657.5390625,71729.296875,71657.5390625,71729.296875,297856
2024-03-11 11:00:00+00:00,72051.2578125,72051.2578125,71634.9609375,71641.5625,4448384
2024-03-11 12:00:00+00:00,71940.46875,71971.7109375,71621.625,71643.609375,5248
2024-03-11 13:00:00+00:00,71730.2734375,72168.1015625,71730.2734375,71948.6328125,0
2024-03-11 14:00:00+00:00,72050.671875,72201.734375,71648.171875,71648.171875,2526080
2024-03-11 15:00:00+00:00,72200.203125,72432.546875,72128.15625,72128.15625,4225536
2024-03-11 16:00:00+00:00,72467.484375,72509.6640625,72129.7734375,72140.15625,4908800
2024-03-11 17:00:00+00:00,72475.140625,72479.0703125,72400.2578125,72479.0703125,433792
2024-03-11 18:00:00+00:00,72440.6796875,72504.0625,72383.484375,72475.0234375,0
2024-03-11 19:00:00+00:00,72146.765625,72688.671875,72146.765625,72465.5546875,0
2024-03-11 20:00:00+00:00,72134.2109375,72170.875,72084.6953125,72084.6953125,0
2024-03-11 21:00:00+00:00,72295.5,72297.296875,72126.1484375,72127.5625,1719680
2024-03-11 22:00:00+00:00,72528.65625,72556.75,72330.2265625,72330.2265625,2393216
2024-03-11 23:00:00+00:00,72256.6328125,72530.578125,72256.6328125,72530.578125,0
